Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

12:42:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:19 PM  158    5.27    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.65
12:42:19 PM  159    6.26    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   93.66
12:42:19 PM  160    5.29    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.62
12:42:19 PM  161    5.87    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.07
12:42:19 PM  162    5.33    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.58
12:42:19 PM  163    5.87    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.07
12:42:19 PM  164    5.47    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.44
12:42:19 PM  165    6.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.90
12:42:19 PM  166    5.36    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.55
12:42:19 PM  167    5.80    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.14
12:42:19 PM  168    5.35    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.56
12:42:19 PM  169    5.80    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.14
12:42:19 PM  170    5.34    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.58
12:42:19 PM  171    6.11    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   93.83
12:42:19 PM  172    5.35    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.56
12:42:19 PM  173    5.73    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM  174    5.37    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  175    5.80    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.14
12:42:19 PM  176    5.24    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.67
12:42:19 PM  177    5.76    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.18
12:42:19 PM  178    5.41    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   94.46
12:42:19 PM  179    6.02    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.92
12:42:19 PM  180    5.39    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.52
12:42:19 PM  181    5.76    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.19
12:42:19 PM  182    5.35    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.55
12:42:19 PM  183    5.89    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.05
12:42:19 PM  184    5.34    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.56
12:42:19 PM  185    5.88    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.06
12:42:19 PM  186    5.38    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.52
12:42:19 PM  187    5.84    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.10
12:42:19 PM  188    5.56    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.35
12:42:19 PM  189    5.77    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.17
12:42:19 PM  190    5.49    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.41
12:42:19 PM  191    5.74    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM  192    5.40    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.49
12:42:19 PM  193    5.91    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.03
12:42:19 PM  194    5.37    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  195    5.87    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.07
12:42:19 PM  196    5.52    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.38
12:42:19 PM  197    5.80    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.14
12:42:19 PM  198    5.51    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.39
12:42:19 PM  199    5.83    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.10
12:42:19 PM  200    5.32    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:42:19 PM  201    5.86    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.09
12:42:19 PM  202    5.45    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.46
12:42:19 PM  203    5.81    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.13
12:42:19 PM  204    5.32    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:42:19 PM  205    5.81    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.13
12:42:19 PM  206    5.50    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.40
12:42:19 PM  207    5.73    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM  208    5.37    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  209    5.75    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.19
12:42:19 PM  210    5.47    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.43
12:42:19 PM  211    5.77    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.18
12:42:19 PM  212    5.44    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.46
12:42:19 PM  213    5.74    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM  214    5.38    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.53
12:42:19 PM  215    5.93    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.02
12:42:19 PM  216    5.49    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.41
12:42:19 PM  217    5.77    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.18
12:42:19 PM  218    5.31    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.60
12:42:19 PM  219    5.74    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.21
12:42:19 PM  220    5.53    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   94.36
12:42:19 PM  221    5.72    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.22
12:42:19 PM  222    5.46    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   94.45
12:42:19 PM  223    5.90    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.01
